微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J4APCzCsv,[置顶]莲 努力努力再努力x的微博视频  ,,无,"http://f.video.weibocdn.com/WA8hoxmElx07DIFo060g01041201vCFi0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1648807995&ssig=YbEwo1pqKf&KID=unistore,video",无,2020-06-01 10:11,微博视频号,3177617,1000000,1000000
LkbRddlQn,要跟宁恕的人生说再见了感谢简导和所有演员前辈、所有剧组老师们的一路关照与指教 感谢在这段拍摄经历里学习到的所有 两年前遇见宁恕 两年后 回头再看自己当时的表现 发现自己与前辈们的差距 这也提醒我 自己与真正「演员」职业标准的距离 我 需要继续学习 积累 沉淀下一个相逢时节 期待我们在新的故事里再见 感谢所有                  原图                             ,,http://wx4.sinaimg.cn/large/002XbRyjly1h0d7bqvxx8j656o3gghe202.jpg,无,无,2022-03-17 21:30,无,1085629,1000000,306155
LhH0ydvyo,喵喵喵瞄喵喵喵喵喵喵，喵喵喵喵喵喵喵！#电视剧相逢时节#  原图 ,,http://wx4.sinaimg.cn/large/002XbRyjly1gzu7p6ooo9j61kw1kwe8102.jpg,无,无,2022-03-01 11:17,无,1042439,1000000,230560
LhBItqeia,#LAY’S MOON NIGHT RADIO# 希望今年 我们可以在熟悉的地方见面 努力努力再努力x的微博视频  ,,无,"http://f.video.weibocdn.com/o0/xJRCXD0Plx07U7sDarfW01041200cj3k0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1648807999&ssig=6bOi2oTRvM&KID=unistore,video",无,2022-02-28 21:49,微博视频号,1025604,1000000,233112
Lhx7omEcR,美味薯香，多重好味，专属@卡乐比Calbee 的好味道，我全都要！很开心能成为卡乐比品牌代言人，今天开始，和我一起探索更多快乐美味吧！#自然百变脆快乐更出味#卡乐比Calbee的微博视频  ,,无,无,无,2022-02-28 10:07,微博视频号,1009627,1000000,202097
LgOtDxhir,嘭 相逢时节 来了 努力努力再努力x的微博视频  ,,无,"http://f.video.weibocdn.com/o0/7s7CBtHBlx07TZ87NaZy0104120078n20E010.mp4?label=mp4_hd&template=852x480.28.0&Expires=1648808000&ssig=ykf5%2B3UN2J&KID=unistore,video",无,2022-02-23 16:28,微博视频号,1027641,1000000,157446
LgEdU6MVJ,努力到达 未曾停歇 《Dawn to Dusk》争取梦想的光 #亚洲新歌榜#  原图 ,,http://wx4.sinaimg.cn/large/002XbRyjly1gzm9lvef43j61kw1kwhdt02.jpg,无,无,2022-02-22 14:22,无,1015934,1000000,183919
LfAYXEHNm,元宵节 给大家表演个吃元宵吧 祝大家心圆梦圆 万事皆圆 努力努力再努力x的微博视频  ,,无,"http://f.video.weibocdn.com/o0/XGjfuGlzlx07TMmcwxg401041200mMOo0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1648808042&ssig=3iJPf6Ek9D&KID=unistore,video",无,2022-02-15 16:16,微博视频号,1093582,1000000,213336
LdkgL3RTJ,陪老妈吃年夜饭 过大年～贝壳r 们年夜饭吃的什么呀 #春节摄影大赛#  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/002XbRyjly1gyx0g9l17rj62c033yu0z02.jpg,http://ww3.sinaimg.cn/large/002XbRyjly1gyx0fzm5rkj62tc1y8b2b02.jpg",无,无,2022-01-31 18:03,无,1066760,1000000,215053
LdhQKs40N,除夕 我带各位虎兄弟给大家拜年了 祝大家虎虎生威 虎年大吉 #新春乐不停# 努力努力再努力x的微博视频  ,,无,"http://f.video.weibocdn.com/o0/PVP0dipLlx07To8MrYbu01041200cMdM0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1648808043&ssig=eXHSV6m2sW&KID=unistore,video",无,2022-01-31 11:53,微博视频号,1028387,1000000,166267
LcdU4A49G,新年将至，祝大家虎年“兴”旺发达，如虎添翼！打开@优酷 摇一摇，来嘭友日就有机会GET惊喜好礼～#上优酷乐虎年# #嘭友日嘭福利#优酷VIP会员的微博视频  ,,无,无,无,2022-01-24 12:00,微博视频号,1004218,1000000,185234
Lc6HP6Gz0,这次年夜FAN要换个身份和大家见面了#家族年年年夜fan#  原图 ,,http://wx2.sinaimg.cn/large/002XbRyjly1gynqutg41zj61xg1ab7wh02.jpg,无,无,2022-01-23 17:41,无,1015357,1000000,170408
Lbd66Euy8,#LAY’S MOON NIGHT RADIO# 经久流年 十年为期 铭记 十年相伴 始终 历久弥新 未来 努力努力再努力x的微博视频  ,,无,"http://f.video.weibocdn.com/o0/JrT82nFnlx07T2mcOb4Y01041200b2rQ0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1648808043&ssig=pQBPb8DGPl&KID=unistore,video",无,2022-01-17 20:07,微博视频号,1355947,1000000,244571
LaHgzBE8d,来#微博新鲜市# 转发这条微博领取道具“紫色贝壳小屋”。新的一年给你前所未有的好运，微博新鲜市 快来一起建造梦想城市吧@让红包飞  原图 ,,http://wx3.sinaimg.cn/large/002XbRyjly1gyd0tutjjzj60u01mcqr202.jpg,无,无,2022-01-14 11:05,无,1010173,1000000,134496
L8NzVbx9P,我#用这张剧照告别2021# 这是我今年播出电视剧《扫黑风暴》中的剧照 这个角色于我而言是一场幸运的遇见 让我有机会在跌宕起伏的正邪较量故事中感受戏剧的张力和表演的魅力 2022 希望以真正演员的身份 迎接很多的挑战！@CCTV电视剧 #大剧看总台#  原图 ,,http://wx2.sinaimg.cn/large/002XbRyjly1gxyl9jlyywj63zk2nsqvb02.jpg,无,无,2022-01-01 23:28,无,1002013,1000000,160845
L8LvJ0GKr,#总台2022扬帆远航大湾区# 在创业谷见证青年逐梦大湾区，续写创业新故事。新的一年，我们一起加油！1月1日21:00档 ，相约中央广播电视总台《扬帆远航大湾区——2022新年音乐会》，你好2022。 #扬帆远航大湾区追梦向未来# 努力努力再努力x的微博视频  ,,无,"http://f.video.weibocdn.com/o0/OrdClPjJlx07SCI67Yla010412005qIi0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1648808073&ssig=rg7e2diic3&KID=unistore,video",无,2022-01-01 18:12,微博视频号,871468,1000000,126074
